00000110004203240115C00000040000EMPLOYEE CONTRIB        
00000210004203240131C00000020000EMPLOYER MATCH          
00000310004203240229C00000003650DIVIDEND REINVEST       
00000410004203240715C00000040000EMPLOYEE CONTRIB        
00000510010801240801C00000080000PAYROLL DEPOSIT         
00000610010801240815D00000004000ATM WITHDRAWAL          
00000710004203241231C00000008820DIVIDEND REINVEST       
00000810021501241231C00000002210QUARTERLY DIVIDEND      
00000910004202250103C00000220000DIRECT DEPOSIT          
00001010004202250110D00000014237DEBIT GROCERY           
00001110004202250114D00000085000CHECK 1041              
00001210004201250115C00000150000PAYROLL DEPOSIT         
00001310004203250115C00000040000EMPLOYEE CONTRIB        
00001410004202250117C00000220000DIRECT DEPOSIT          
00001510004202250121D00000004850DEBIT FUEL              
00001610004202250128D00000153629CHECK 1042              
00001710004201250131C00000150000PAYROLL DEPOSIT         
00001810004202250131C00000220000DIRECT DEPOSIT          
00001910004201250214C00000150000PAYROLL DEPOSIT         
00002010004202250214D00000240000RENT PAYMENT            
00002110004201250220D00000030000ATM WITHDRAWAL          
00002210033002250228D00000001500DEBIT FUEL              
00002310004201250331C00000001875QUARTERLY DIVIDEND      
